author,title,subtitle preview,collection,read time,claps,responses,published_date,article_url,scraped_date
Andre Cronje,Decentralized payroll management for DAOs,,Yearn,2,1300,6,2021-03-31 00:00:00,https://medium.com/iearn/decentralized-payroll-management-for-daos-b2252160c543,2021-09-21 18:21:01.677962
Andre Cronje,Partnering to Build Best-in-Class BTC Vaults,,Yearn,2,278,1,2021-02-10 00:00:00,https://medium.com/iearn/partnering-to-build-best-in-class-btc-vaults-a1036f93d768,2021-09-21 18:21:01.680467
Weaver,The Blue Pill,,Yearn,2,252,,2021-07-28 00:00:00,https://medium.com/iearn/the-blue-pill-ca44ed01f16f,2021-09-21 18:21:01.682451
dudesahn,Yearn UI v3.0,,Yearn,10,98,1,2021-09-16 00:00:00,https://medium.com/iearn/yearn-ui-v3-0-a194355bdb1f,2021-09-21 18:21:01.684413
Weaver,"More boosts, compounding, and mojitos for you with yvBOOST.",,Yearn,5,53,,2021-09-13 00:00:00,https://medium.com/iearn/thats-boost-folks-7afae75db826,2021-09-21 18:21:01.686658
Andre Cronje,How we built on-chain APR for Ethereum DeFi,,Yearn,5,328,2,2020-01-25 00:00:00,https://medium.com/iearn/how-we-built-on-chain-apr-for-ethereum-defi-a8d84b680758,2021-09-21 18:21:03.278131
Andre Cronje,Understanding ,,Yearn,5,714,2,2020-12-02 00:00:00,https://medium.com/iearn/understanding-cover-protocol-8b12745137b1,2021-09-21 18:21:04.919923
Andre Cronje,Yearn x Sushi 行ってきます,,Yearn,2,1100,3,2020-11-30 00:00:00,https://medium.com/iearn/yearn-x-sushi-%E8%A1%8C%E3%81%A3%E3%81%A6%E3%81%8D%E3%81%BE%E3%81%99-41b2f78b62e9,2021-09-21 18:21:04.922098
Andre Cronje,yearn.finance x Hegic: Binary Options,One of yearn.finance’s core tenets is downside mitigated savings…,Yearn,4,1400,11,2020-11-09 00:00:00,https://medium.com/iearn/yearn-finance-x-hegic-binary-options-351dcad96d01,2021-09-21 18:21:05.898212
Andre Cronje,Pickle & Yearn ferment co-operation dill,,Yearn,3,699,3,2020-11-24 00:00:00,https://medium.com/iearn/pickle-yearn-ferment-co-operation-dill-eec43b93d0ea,2021-09-21 18:21:05.900551
Andre Cronje,Yearn & Cover merger,,Yearn,2,477,1,2020-11-28 00:00:00,https://medium.com/iearn/yearn-cover-merger-651142828c45,2021-09-21 18:21:05.902530
Andre Cronje,Yearn & Cream v2 merger,,Yearn,1,639,1,2020-11-25 00:00:00,https://medium.com/iearn/yearn-cream-v2-merger-e9fa6c6989b4,2021-09-21 18:21:05.904545
Andre Cronje,μα τον Δια! Yearn x Akropolis,,Yearn,2,658,,2020-11-30 00:00:00,https://medium.com/iearn/%CE%BC%CE%B1-%CF%84%CE%BF%CE%BD-%CE%B4%CE%B9%CE%B1-yearn-x-akropolis-16f5351af35e,2021-09-21 18:21:05.906449
Andre Cronje,"Introducing StableCredit, a new protocol for decentralized lending, stablecoins, and AMMs.",,Yearn,3,2300,8,2020-09-10 00:00:00,https://medium.com/iearn/introducing-stablecredit-a-new-protocol-for-decentralized-lending-stablecoins-and-amms-7252a43ee56,2021-09-21 18:21:06.757104
Andre Cronje,yETH vault explained,,Yearn,3,1300,2,2020-09-03 00:00:00,https://medium.com/iearn/yeth-vault-explained-c29d6b93a371,2021-09-21 18:21:06.758759
Andre Cronje,Introducing SyntheticRebaseDollar a credit based rebase index,,Yearn,2,1000,9,2020-09-17 00:00:00,https://medium.com/iearn/introducing-syntheticrebasedollar-a-credit-based-rebase-index-7e6e0ce7c24,2021-09-21 18:21:06.760128
Andre Cronje,Delegated Vaults Explained,,Yearn,4,1100,5,2020-08-04 00:00:00,https://medium.com/iearn/delegated-vaults-explained-fa81f1c3fce2,2021-09-21 18:21:08.150944
Andre Cronje,yinsure.finance a new insurance primitive,,Yearn,2,1600,1,2020-08-17 00:00:00,https://medium.com/iearn/yinsure-finance-a-new-insurance-primitive-77d5d4217896,2021-09-21 18:21:08.152348
Andre Cronje,Delegated Funding DAO Vaults,,Yearn,2,1400,2,2020-08-29 00:00:00,https://medium.com/iearn/delegated-funding-dao-vaults-7ab05a63d7ba,2021-09-21 18:21:08.153568
Andre Cronje,yearn.finance v2,,Yearn,2,2200,5,2020-07-24 00:00:00,https://medium.com/iearn/yearn-finance-v2-af2c6a6a3613,2021-09-21 18:21:09.419489
Andre Cronje,YFI,,Yearn,2,724,8,2020-07-17 00:00:00,https://medium.com/iearn/yfi-df84573db81,2021-09-21 18:21:09.420805
Andre Cronje,Yield farming 101,,Yearn,3,841,1,2020-07-15 00:00:00,https://medium.com/iearn/yield-farming-101-d983a27c542e,2021-09-21 18:21:09.421688
Andre Cronje,Pool #3 Meta Yield Governance,,Yearn,2,597,5,2020-07-19 00:00:00,https://medium.com/iearn/pool-3-meta-yield-governance-58f68e6d2f19,2021-09-21 18:21:09.422627
Andre Cronje,Earning YFI y.curve.fi,"The first distribution pool is live, UI to follow in the next few days.",Yearn,2,209,1,2020-07-17 00:00:00,https://medium.com/iearn/earning-yfi-y-curve-fi-53b5fd347f0f,2021-09-21 18:21:09.423583
Andre Cronje,yswap.exchange,,Yearn,2,582,3,2020-07-16 00:00:00,https://medium.com/iearn/yswap-exchange-99bf906311db,2021-09-21 18:21:09.424413
Andre Cronje,YFI rewards pool,,Yearn,1,403,,2020-07-17 00:00:00,https://medium.com/iearn/yfi-rewards-pool-810ef9256ec6,2021-09-21 18:21:09.425084
Cooper Turley,yEarn Governance Forum,Participate in yEarn governance at gov.yearn.finance,Yearn,4,326,,2020-07-19 00:00:00,https://medium.com/iearn/yearn-governance-forum-7b7c9d0300ac,2021-09-21 18:21:09.425771
Andre Cronje,Yield Stable Coins #103,,Yearn,3,328,,2020-07-15 00:00:00,https://medium.com/iearn/yield-stable-coins-103-717b097213f1,2021-09-21 18:21:09.426439
Andre Cronje,Yield Aware AMMs #102,,Yearn,3,460,,2020-07-15 00:00:00,https://medium.com/iearn/yield-aware-amms-102-114e1ea37608,2021-09-21 18:21:09.427088
Andre Cronje,Things I wish I knew before building Ethereum #DeFi dapps,,Yearn,6,1300,7,2020-02-04 00:00:00,https://medium.com/iearn/things-i-wish-i-knew-before-building-ethereum-defi-dapps-cd6bf0f07a16,2021-09-21 18:21:10.492732
Andre Cronje,Stablecoin yield arbitrage for fun and profit,,Yearn,2,392,,2020-02-15 00:00:00,https://medium.com/iearn/stablecoin-yield-arbitrage-for-fun-and-profit-7f16b351e684,2021-09-21 18:21:10.494185
Andre Cronje,Meta Stablecoins available today,,Yearn,2,686,2,2020-02-13 00:00:00,https://medium.com/iearn/meta-stablecoins-available-today-bd9b5a77e49,2021-09-21 18:21:10.495163
Andre Cronje,The yield liquidity pool problem,,Yearn,4,189,,2020-02-22 00:00:00,https://medium.com/iearn/the-yield-liquidity-pool-problem-90f395f8ddaa,2021-09-21 18:21:10.495968
Andre Cronje,"Yield aggregator problem(s) #2 (3, 4, and 5) too large to move.",,Yearn,3,235,,2020-02-23 00:00:00,https://medium.com/iearn/yield-aggregator-problem-s-2-3-4-and-5-too-large-to-move-9a75432a50de,2021-09-21 18:21:10.496898
Andre Cronje, from yields to curves ~ weekly update,,Yearn,2,169,,2020-02-16 00:00:00,https://medium.com/iearn/iearn-finance-from-yields-to-curves-weekly-update-817b54ef21b1,2021-09-21 18:21:10.497769
Andre Cronje, milestones and roadmap,,Yearn,2,193,,2020-02-07 00:00:00,https://medium.com/iearn/iearn-finance-milestones-and-roadmap-27fe63830951,2021-09-21 18:21:10.498759
Andre Cronje,iearn.finance from curves to cover ~ weekly update,,Yearn,2,78,,2020-02-21 00:00:00,https://medium.com/iearn/iearn-finance-from-curves-to-cover-weekly-update-e7a91840d952,2021-09-21 18:21:10.499492
