article_url,author,claps,collection,published_date,read_time,responses,scraped_date,subtitle_preview,title
https://medium.com/iearn/decentralized-payroll-management-for-daos-b2252160c543,Andre Cronje,1300,Yearn,2021-03-31 00:00:00,2,6,2021-09-21 18:02:38.168929,,Decentralized payroll management for DAOs
https://medium.com/iearn/partnering-to-build-best-in-class-btc-vaults-a1036f93d768,Andre Cronje,278,Yearn,2021-02-10 00:00:00,2,1,2021-09-21 18:02:38.174575,,Partnering to Build Best-in-Class BTC Vaults
https://medium.com/iearn/the-blue-pill-ca44ed01f16f,Weaver,252,Yearn,2021-07-28 00:00:00,2,,2021-09-21 18:02:38.180894,,The Blue Pill
https://medium.com/iearn/yearn-ui-v3-0-a194355bdb1f,dudesahn,98,Yearn,2021-09-16 00:00:00,10,1,2021-09-21 18:02:38.187793,,Yearn UI v3.0
https://medium.com/iearn/thats-boost-folks-7afae75db826,Weaver,53,Yearn,2021-09-13 00:00:00,5,,2021-09-21 18:02:38.193694,,"More boosts, compounding, and mojitos for you with yvBOOST."
https://medium.com/iearn/understanding-cover-protocol-8b12745137b1,Andre Cronje,714,Yearn,2020-12-02 00:00:00,5,2,2021-09-21 18:02:48.703044,,Understanding 
https://medium.com/iearn/yearn-x-sushi-%E8%A1%8C%E3%81%A3%E3%81%A6%E3%81%8D%E3%81%BE%E3%81%99-41b2f78b62e9,Andre Cronje,1100,Yearn,2020-11-30 00:00:00,2,3,2021-09-21 18:02:48.710591,,Yearn x Sushi 行ってきます
https://medium.com/iearn/yearn-finance-x-hegic-binary-options-351dcad96d01,Andre Cronje,1400,Yearn,2020-11-09 00:00:00,4,11,2021-09-21 18:02:51.067082,One of yearn.finance’s core tenets is downside mitigated savings…,yearn.finance x Hegic: Binary Options
https://medium.com/iearn/pickle-yearn-ferment-co-operation-dill-eec43b93d0ea,Andre Cronje,699,Yearn,2020-11-24 00:00:00,3,3,2021-09-21 18:02:51.081490,,Pickle & Yearn ferment co-operation dill
https://medium.com/iearn/yearn-cover-merger-651142828c45,Andre Cronje,477,Yearn,2020-11-28 00:00:00,2,1,2021-09-21 18:02:51.097186,,Yearn & Cover merger
https://medium.com/iearn/yearn-cream-v2-merger-e9fa6c6989b4,Andre Cronje,639,Yearn,2020-11-25 00:00:00,1,1,2021-09-21 18:02:51.113080,,Yearn & Cream v2 merger
https://medium.com/iearn/%CE%BC%CE%B1-%CF%84%CE%BF%CE%BD-%CE%B4%CE%B9%CE%B1-yearn-x-akropolis-16f5351af35e,Andre Cronje,658,Yearn,2020-11-30 00:00:00,2,,2021-09-21 18:02:51.126308,,μα τον Δια! Yearn x Akropolis
https://medium.com/iearn/introducing-stablecredit-a-new-protocol-for-decentralized-lending-stablecoins-and-amms-7252a43ee56,Andre Cronje,2300,Yearn,2020-09-10 00:00:00,3,8,2021-09-21 18:02:52.487648,,"Introducing StableCredit, a new protocol for decentralized lending, stablecoins, and AMMs."
https://medium.com/iearn/yeth-vault-explained-c29d6b93a371,Andre Cronje,1300,Yearn,2020-09-03 00:00:00,3,2,2021-09-21 18:02:52.493696,,yETH vault explained
https://medium.com/iearn/introducing-syntheticrebasedollar-a-credit-based-rebase-index-7e6e0ce7c24,Andre Cronje,1000,Yearn,2020-09-17 00:00:00,2,9,2021-09-21 18:02:52.499420,,Introducing SyntheticRebaseDollar a credit based rebase index
https://medium.com/iearn/delegated-vaults-explained-fa81f1c3fce2,Andre Cronje,1100,Yearn,2020-08-04 00:00:00,4,5,2021-09-21 18:02:53.920635,,Delegated Vaults Explained
https://medium.com/iearn/yinsure-finance-a-new-insurance-primitive-77d5d4217896,Andre Cronje,1600,Yearn,2020-08-17 00:00:00,2,1,2021-09-21 18:02:53.926706,,yinsure.finance a new insurance primitive
https://medium.com/iearn/delegated-funding-dao-vaults-7ab05a63d7ba,Andre Cronje,1400,Yearn,2020-08-29 00:00:00,2,2,2021-09-21 18:02:53.932473,,Delegated Funding DAO Vaults
https://medium.com/iearn/yearn-finance-v2-af2c6a6a3613,Andre Cronje,2200,Yearn,2020-07-24 00:00:00,2,5,2021-09-21 18:02:55.065911,,yearn.finance v2
https://medium.com/iearn/yfi-df84573db81,Andre Cronje,724,Yearn,2020-07-17 00:00:00,2,8,2021-09-21 18:02:55.074073,,YFI
https://medium.com/iearn/yield-farming-101-d983a27c542e,Andre Cronje,841,Yearn,2020-07-15 00:00:00,3,1,2021-09-21 18:02:55.082416,,Yield farming 101
https://medium.com/iearn/pool-3-meta-yield-governance-58f68e6d2f19,Andre Cronje,597,Yearn,2020-07-19 00:00:00,2,5,2021-09-21 18:02:55.092197,,Pool #3 Meta Yield Governance
