author,title,subtitle preview,published date,min read time,collection,claps,responses
Chris Webb,Reading a Photograph’s Exif Data with Python and Pillow,,Oct 31,6 min read,Python In Plain English,45,
Tracyrenee,How I used TfidfVectorizer() to solve a tagging problem,,Nov 1,4 min read,Python In Plain English,61,
Zhang Zeyu,Network Scanning with Scapy in Python,,Aug 2,6 min read,Python In Plain English,154,
Bhagesh Hunakunti,Pandas Tips & Tricks that every Data Scientist should know,,Jul 30,5 min read,Python In Plain English,2,
D Khambu,Breaking out of nested loops — Python,,Aug 1,4 min read,Python In Plain English,56,
Jagandeep Singh,Predicting Used Car Prices with Python,,Aug 2,4 min read,Python In Plain English,14,
Mikhail Raevskiy,Top 10 Security Holes Python Developer Should Be Afraid Of,,Aug 2,6 min read,Python In Plain English,6,
Grant Peach,A Python GUI Designer for Mac,,Aug 2,4 min read,Python In Plain English,150,
Irene Too,Webscrape Heart Disease Research News Using BeautifulSoup,How severe can heart disease affect our…,Aug 1,4 min read,Python In Plain English,2,
Nikita Buslov,Noteworthy lessons from my FANG Experience,,Jul 30,5 min read,Python In Plain English,99,
Erik Schrama,How to read out your smart gas meter with a raspberry pi,,Jul 1,8 min read,Python In Plain English,51,1 response
Nawar Aswad,How I Created a Python Script to Buy the Intel Core i9 10900k,,Jun 30,4 min read,Python In Plain English,41,
Matt von Rohr,Neural Networks in Python,,Jul 1,8 min read,Python In Plain English,41,
Jagandeep Singh,Statistical Tests with Python,A statistical test provides a mechanism for making quantitative…,Jul 28,5 min read,Python In Plain English,488,5 responses
Uzair Adamjee,Useful Python Tips + Tricks,,Jul 30,2 min read,Python In Plain English,58,
Ke Gui,Identifying Outliers,Python For Finance: Part 1 (How to find and visualize outliers in your dataset by…,Jul 23,5 min read,Python In Plain English,14,
Martin Thoma,Structuring Unit Tests in Python,,Jul 25,7 min read,Python In Plain English,217,1 response
Dinesh Kumar K B,Different ways to convert a Python List to a Dictionary,,Jul 27,4 min read,Python In Plain English,1,
Kaushik Katari,Python Recursion or Recursive Function in Python,,Jul 27,4 min read,Python In Plain English,19,
Borna Ahmadzadeh,Blue Book for Bulldozers Competition Part 7 (Continued) — Deep Learning for Tabular Data III,,Jul 27,12 min read,Python In Plain English,2,
Martin Thoma,Unit Testing in Python — tox and nox,,Jul 23,4 min read,Python In Plain English,146,
Kaushik Katari,Python Programs to check for Armstrong Number (n digit) and Fenced Matrix,,Jul 23,3 min read,Python In Plain English,37,
Dickson Mwendia,How to Write Code That Everyone Can Read,Understandable code will make you a better developer,Jul 19,7 min read,Python In Plain English,31,1 response
Martin Thoma,How to start Python Development on Windows 10 (Anaconda Edition),Learn how to execute Python on…,Jul 20,4 min read,Python In Plain English,12,1 response
Behic Guven,The 5 High Demanding Data Science Careers,,Jul 19,5 min read,Python In Plain English,84,
Sathishravi,Introduction to Python fundamentals for Data Science,,Jul 20,5 min read,Python In Plain English,3,
Ashutosh Singh,Face Recognition Model Using Transfer Learning,,Jul 20,2 min read,Python In Plain English,1,
Pasindu Ukwatta,Data Visualization Libraries in Python,,Jul 20,4 min read,Python In Plain English,115,
Richard Quinn,22 Pythonic Tricks for Working with Strings,,Jul 19,3 min read,Python In Plain English,291,2 responses
pankaj kumar,Pickling Objects in Python,,Jul 18,3 min read,Python In Plain English,2,
Mikhail Raevskiy,Python Dictionary Methods — Explained,Clear explanation for Python dictionary methods and how to use…,Nov 9,4 min read,Python In Plain English,23,
Fabio Motta,Python Dictionary: access values without knowing key names,,Nov 9,2 min read,Python In Plain English,11,
Tracyrenee,How I improved my prediction accuracy by using BaggingRegressor() in sklearn,,Nov 9,3 min read,Python In Plain English,,
Rajathithan Rajasekar,Export Data from ElasticSearch & Kibana to Pandas Dataframe,,May 30,2 min read,Python In Plain English,3,
Ashish Ansurkar,Getting Started With Graphql and Flask,,May 30,4 min read,Python In Plain English,1,
Ahmed Cheema,"Using Machine Learning to Classify NBA Players, Part II",,May 30,11 min read,Python In Plain English,,
JOSHUA WEINSTEIN,The incredible power of Python’s replace regex,,Oct 31,6 min read,Python In Plain English,5,
Amal Hasni,Get started with Selenium WebDriver with Python in under 10 minutes!,,Oct 31,4 min read,Python In Plain English,147,
aditya dhanraj tiwari,sorted() in Python,,Oct 31,4 min read,Python In Plain English,51,
Sofien Kaabar,Coding Different Facets of Volatility,,Oct 30,7 min read,Python In Plain English,49,
Bryan Dijkhuizen,How to Create a Simple Django Web App with Python for Beginners in 2021,,Oct 30,8 min read,Python In Plain English,30,1 response
abalcerek,How to implement Set with Python,,Oct 29,6 min read,Python In Plain English,,
Tracyrenee,How I used merge() to solve a food demand processing problem,,Oct 30,4 min read,Python In Plain English,24,
James Briggs,Build Better APIs With Python,,Oct 27,8 min read,Python In Plain English,142,1 response
Chris Webb,Exploring the Visible Spectrum in Python,,Oct 27,7 min read,Python In Plain English,30,
Sofien Kaabar,How To Create Candlestick Trading Systems in Python,,Oct 25,19 min read,Python In Plain English,102,
Mike Wolfe,Python and Test-Driven Development,,Oct 24,3 min read,Python In Plain English,50,
Sandro,8 Python Tools That Every Developer Should Know,,Oct 26,7 min read,Python In Plain English,270,2 responses
Himanshu kanojiya,OpenCV Python Tutorial for Beginners Part 1,,Oct 24,6 min read,Python In Plain English,2,
Martin Thoma,PyCharm Professional — Python Editors in Review 👩‍💻,,Oct 25,6 min read,Python In Plain English,43,1 response
Farel Ellely,How To Generate Barcodes With Django,,Oct 25,4 min read,Python In Plain English,43,
Himanshu kanojiya,,,Oct 26,6 min read,Python In Plain English,22,
Shilpa Arora,Statistical Machine Learning in Python,"Summary of each chapter of the book- Introduction of Statistical Learning (ISL), along with Python code & data.",Oct 24,3 min read,Python In Plain English,53,
Dinesh Kumar K B,Creating Immutable Classes Using NamedTuple in Python,,Oct 22,4 min read,Python In Plain English,93,
Martin Thoma,Python Editors in Review: Sublime Text 👨‍💻,,Oct 22,5 min read,Python In Plain English,43,
Bryan Dijkhuizen,The Pandas Guide for Python Beginners in 2021,,Oct 29,5 min read,Python In Plain English,49,
Viviana Márquez,How to create a Twitter Bot to troll your friends,,Oct 29,4 min read,Python In Plain English,16,
Bryan Dijkhuizen,Using Python and MongoDB for Absolute Beginners in 2021,,Oct 29,4 min read,Python In Plain English,56,
Kieran Tan Kah Wang,Decision Trees & Random Forests in Pyspark,,Oct 29,6 min read,Python In Plain English,45,
Alberto Naranjo,Build a payment system with Django 3.1 and Stripe from scratch,,Oct 28,6 min read,Python In Plain English,22,
